7, 5 || 1, 1, 1, 1, 1, 5, 8, 9 || 0.07813333590702393, 0.07686118229584112, 0.0012721536111828108
7, 6 || 1, 1, 1, 1, 1, 5, 8, 9 || 0.07402265794420694, 0.07385754432914726, 0.00016511361505967825
5, 4 || 1, 1, 1, 1, 1, 5, 8, 10 || 0.32544166532973595, 0.3254404185962978, 1.2467334381538464e-06
5, 3 || 1, 1, 1, 1, 1, 5, 9, 10 || 0.33776315925632405, 0.33684453222208094, 0.0009186270342431135
5, 4 || 1, 1, 1, 1, 1, 5, 9, 10 || 0.32700596209033334, 0.3269288899251752, 7.707216515812076e-05
6, 6 || 1, 1, 1, 1, 1, 5, 9, 10 || 0.11285236356495054, 0.11279323601457845, 5.912755037208728e-05
7, 2 || 1, 1, 1, 1, 1, 6, 6, 9 || 0.04781255764591057, 0.04716114980657159, 0.0006514078393389799
7, 3 || 1, 1, 1, 1, 1, 6, 6, 10 || 0.04430207735575731, 0.04376133142434376, 0.0005407459314135457
7, 4 || 1, 1, 1, 1, 1, 6, 7, 8 || 0.07517404306825062, 0.0747209158369439, 0.0004531272313067214
7, 5 || 1, 1, 1, 1, 1, 6, 7, 8 || 0.07130758592645384, 0.06981600732401282, 0.001491578602441021
7, 6 || 1, 1, 1, 1, 1, 6, 7, 8 || 0.06857835145804804, 0.06702196802953489, 0.00155638342851315
6, 3 || 1, 1, 1, 1, 1, 6, 7, 9 || 0.10438229398649296, 0.10382978911559901, 0.0005525048708939495
6, 4 || 1, 1, 1, 1, 1, 6, 7, 9 || 0.10069212411679682, 0.100167654385975, 0.0005244697308218194
6, 5 || 1, 1, 1, 1, 1, 6, 7, 9 || 0.09737877430126657, 0.09714285525610189, 0.00023591904516467865
6, 6 || 1, 1, 1, 1, 1, 6, 7, 9 || 0.09304965867751497, 0.09276044186767855, 0.00028921680983641507
7, 2 || 1, 1, 1, 1, 1, 6, 7, 9 || 0.05351475334889217, 0.0530801525566203, 0.00043460079227187337
7, 3 || 1, 1, 1, 1, 1, 6, 7, 9 || 0.052740376710612734, 0.052203291453413875, 0.0005370852571988591
7, 4 || 1, 1, 1, 1, 1, 6, 7, 9 || 0.05207138095187745, 0.05130143537216231, 0.000769945579715145
7, 5 || 1, 1, 1, 1, 1, 6, 7, 9 || 0.051787649789270945, 0.05039977880622957, 0.0013878709830413768
7, 6 || 1, 1, 1, 1, 1, 6, 7, 9 || 0.052409310783625214, 0.05132301889649357, 0.001086291887131642
7, 6 || 1, 1, 1, 1, 1, 6, 8, 8 || 0.07310118509456393, 0.07189337307497513, 0.0012078120195887915
5, 3 || 1, 1, 1, 1, 1, 6, 8, 9 || 0.1381485429293229, 0.13722991589507982, 0.0009186270342430858
5, 4 || 1, 1, 1, 1, 1, 6, 8, 9 || 0.13178317079778462, 0.1317060986326265, 7.707216515812076e-05
6, 6 || 1, 1, 1, 1, 1, 6, 8, 9 || 0.0953755638311065, 0.09514857829536129, 0.00022698553574521108
7, 3 || 1, 1, 1, 1, 1, 6, 8, 9 || 0.06070251478487276, 0.06070249243790048, 2.2346972286535483e-08
7, 4 || 1, 1, 1, 1, 1, 6, 8, 9 || 0.05953383627815666, 0.05953200775213555, 1.8285260211040044e-06
7, 5 || 1, 1, 1, 1, 1, 6, 8, 9 || 0.05836717218554733, 0.058353806205786715, 1.336597976061421e-05
7, 6 || 1, 1, 1, 1, 1, 6, 8, 9 || 0.05701662168839719, 0.05697872900931063, 3.7892679086562464e-05
4, 4 || 1, 1, 1, 1, 1, 6, 8, 10 || 0.3192600706658697, 0.31925882393243155, 1.2467334381538464e-06
5, 3 || 1, 1, 1, 1, 1, 6, 8, 10 || 0.14628162175046033, 0.1457291168795664, 0.0005525048708939218
5, 4 || 1, 1, 1, 1, 1, 6, 8, 10 || 0.13880057277647712, 0.13827610304565532, 0.0005244697308217916
5, 5 || 1, 1, 1, 1, 1, 6, 8, 10 || 0.13420017915626425, 0.13396426011109958, 0.00023591904516467865
5, 6 || 1, 1, 1, 1, 1, 6, 8, 10 || 0.1294942865555785, 0.12920506974574208, 0.00028921680983642895
4, 3 || 1, 1, 1, 1, 1, 6, 9, 10 || 0.33142346725849575, 0.33050484022425264, 0.0009186270342431135
4, 4 || 1, 1, 1, 1, 1, 6, 9, 10 || 0.32082436742646714, 0.320747295261309, 7.707216515812076e-05
5, 6 || 1, 1, 1, 1, 1, 6, 9, 10 || 0.13182019170917003, 0.13159320617342482, 0.00022698553574521108
8, 8 || 1, 1, 1, 1, 1, 6, 9, 10 || 0.10856095619233655, 0.10804492260867457, 0.0005160335836619789
8, 8 || 1, 1, 1, 1, 1, 6, 10, 10 || 0.06397834992462671, 0.06281326422548487, 0.001165085699141838
7, 5 || 1, 1, 1, 1, 1, 7, 7, 8 || 0.07245505342676761, 0.07244415614944333, 1.089727732428436e-05
7, 6 || 1, 1, 1, 1, 1, 7, 7, 8 || 0.0707057209876837, 0.07064988160853543, 5.583937914827031e-05
7, 3 || 1, 1, 1, 1, 1, 7, 7, 9 || 0.06070251167474045, 0.06070249243790048, 1.9236839975123043e-08
7, 4 || 1, 1, 1, 1, 1, 7, 7, 9 || 0.05953383729222117, 0.05953200775213554, 1.8295400856307986e-06
7, 5 || 1, 1, 1, 1, 1, 7, 7, 9 || 0.05836717033704908, 0.058353806205786715, 1.336413126236391e-05
7, 6 || 1, 1, 1, 1, 1, 7, 7, 9 || 0.05701662271754791, 0.05697872900931064, 3.789370823727156e-05
1, 7 || 1, 1, 1, 1, 1, 7, 8, 9 || 0.5773780253267432, 0.5773559033147142, 2.2122012029002214e-05
5, 6 || 1, 1, 1, 1, 1, 7, 8, 9 || 0.13182019170917003, 0.13159320617342482, 0.00022698553574521108
4, 3 || 1, 1, 1, 1, 1, 7, 8, 10 || 0.1399419297526321, 0.13938942488173817, 0.0005525048708939218
4, 4 || 1, 1, 1, 1, 1, 7, 8, 10 || 0.13261897811261095, 0.13209450838178913, 0.0005244697308218194
4, 5 || 1, 1, 1, 1, 1, 7, 8, 10 || 0.1282156877071412, 0.12797976866197655, 0.0002359190451646509
4, 6 || 1, 1, 1, 1, 1, 7, 8, 10 || 0.12362179570438303, 0.12333257889454662, 0.00028921680983641507
3, 3 || 1, 1, 1, 1, 1, 7, 9, 10 || 0.33847830786068694, 0.33755968082644383, 0.0009186270342431135
3, 4 || 1, 1, 1, 1, 1, 7, 9, 10 || 0.32761843395888196, 0.32754136179372384, 7.707216515812076e-05
4, 6 || 1, 1, 1, 1, 1, 7, 9, 10 || 0.12594770085797458, 0.12572071532222936, 0.00022698553574521108
8, 8 || 1, 1, 1, 1, 1, 7, 9, 10 || 0.11547291609013019, 0.11424869832691245, 0.0012242177632177387
8, 8 || 1, 1, 1, 1, 1, 7, 10, 10 || 0.07037140764764792, 0.06778181073952476, 0.0025895969081231596
3, 6 || 1, 1, 1, 1, 1, 8, 9, 10 || 0.13224300541751005, 0.1320160198817648, 0.00022698553574523883
9, 8 || 1, 1, 1, 1, 1, 8, 9, 10 || 0.10546601004408074, 0.10477823390896501, 0.0006877761351157252
8, 8 || 1, 1, 1, 1, 1, 8, 10, 10 || 0.060531374759499976, 0.06049230955188492, 3.906520761505494e-05
9, 9 || 1, 1, 1, 1, 1, 8, 10, 10 || 0.06816050037844822, 0.06790596835179083, 0.0002545320266573864
8, 8 || 1, 1, 1, 1, 2, 2, 6, 10 || 0.32537438868076024, 0.32508332262491957, 0.0002910660558406719
8, 8 || 1, 1, 1, 1, 2, 2, 7, 10 || 0.3282452477152962, 0.3282411813925565, 4.066322739693096e-06
10, 10 || 1, 1, 1, 1, 2, 3, 4, 9 || 0.6655566952206167, 0.6655485036011327, 8.19161948395486e-06
9, 10 || 1, 1, 1, 1, 2, 3, 4, 10 || 0.1532759113151747, 0.15327526719643034, 6.441187443695373e-07
10, 10 || 1, 1, 1, 1, 2, 3, 4, 10 || 0.6305852053268833, 0.6305827561081039, 2.449218779454476e-06
9, 1 || 1, 1, 1, 1, 2, 3, 5, 10 || 0.10728934909207453, 0.10728860257620883, 7.465158657071758e-07
9, 10 || 1, 1, 1, 1, 2, 3, 5, 10 || 0.1577946938259843, 0.1577621384267644, 3.255539921989681e-05
9, 1 || 1, 1, 1, 1, 2, 3, 6, 10 || 0.11331942829574079, 0.1131820637353248, 0.00013736456041599232
7, 8 || 1, 1, 1, 1, 2, 3, 7, 8 || 0.3667677397384428, 0.3667640013706205, 3.7383678223035233e-06
7, 9 || 1, 1, 1, 1, 2, 3, 7, 8 || 0.42798501395234645, 0.4279493376129051, 3.5676339441348404e-05
7, 10 || 1, 1, 1, 1, 2, 3, 7, 8 || 0.33098330908702583, 0.3309733086244108, 1.0000462615011863e-05
